generations,N,M,K,P,b,c,β,u,v,p1,p2,ϵ,DD_mean_final,DC_mean_final,CD_mean_final,CC_mean_final,y,z,g,h,sia_sid,sia_sjd
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.5,0.5,1.0,0.2268943587502279,0.27643548874981094,0.2568610337497419,0.239809118750106,0.9025641025641026,0.7153846153846154,0.6333333333333333,0.6411605937921727,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.75,0.75,1.0,0.2706873625000986,0.20929351499985166,0.299051457499587,0.22096766499989787,1.0,1.0,1.0,1.0,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,1.0,1.0,1.0,0.2590848012496928,0.2399065150003891,0.26827985249996,0.23272883124991953,1.0,-0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.45,0.2280487804878049
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.0,0.0,1.0,0.22661836624995824,0.24378236875001724,0.2761225637498839,0.25347670124995614,1.0,1.0,1.0,1.0,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.25,0.25,1.0,0.21105319999982747,0.2973062612494376,0.20662655374992775,0.28501398500044695,1.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.5,0.5,1.0,0.3165038949998474,0.21935960749972044,0.2389788787498657,0.22515761875019985,1.0,1.0,1.0,1.0,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.75,0.75,1.0,0.24710916000014246,0.18843378249986914,0.3244467987496172,0.24001025874981397,1.0,0.6307692307692307,0.6307692307692307,0.6307692307692307,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,1.0,1.0,1.0,0.25292388500008517,0.23447626499973676,0.30082037749987434,0.21177947250000975,0.48717948717948717,-0.02564102564102564,0.48717948717948717,-0.02564102564102564,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.0,0.0,1.0,0.23403022249974004,0.213283881249792,0.22255913750001058,0.33012675874992536,1.0,0.8051282051282052,0.8051282051282052,0.8051282051282052,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.25,0.25,1.0,0.3035436100000501,0.24529931249979814,0.21234781624982124,0.2388092612498834,1.0,0.47692307692307695,0.47692307692307695,0.47692307692307695,0.0,0.0
