"M","K","u","v","CC","CD","DC","DD"
2,1,0.001,0.004999999999999999,0.22485387372484145,0.22485387372484145,0.27514612627515855,0.31427309070857457
2,2,0.001,0.004999999999999999,0.22485387372484145,0.22485387372484145,0.27514612627515855,0.32684615384615384
3,1,0.001,0.004999999999999999,0.2122808105872622,0.2122808105872622,0.28771918941273783,0.34012310449407224
3,2,0.001,0.004999999999999999,0.2122808105872622,0.2122808105872622,0.28771918941273783,0.3526961676316515
3,3,0.001,0.004999999999999999,0.2122808105872622,0.2122808105872622,0.28771918941273783,0.3652692307692308
1,1,0.001,0.007476743906106102,0.2455384854112929,0.2455384854112929,0.25446151458870714,0.28842307692307695
2,1,0.001,0.007476743906106102,0.24107697082258578,0.24107697082258578,0.2589230291774142,0.32238463925744676
2,2,0.001,0.007476743906106102,0.24107697082258578,0.24107697082258578,0.2589230291774142,0.3268461538461539
3,1,0.001,0.007476743906106102,0.23661545623387864,0.23661545623387864,0.26338454376612136,0.3563462015918165
3,2,0.001,0.007476743906106102,0.23661545623387864,0.23661545623387864,0.26338454376612136,0.36080771618052365
3,3,0.001,0.007476743906106102,0.23661545623387864,0.23661545623387864,0.26338454376612136,0.3652692307692308
1,1,0.001,0.011180339887498947,0.25421090670301794,0.25421090670301794,0.24578909329698204,0.28842307692307695
2,1,0.001,0.011180339887498947,0.2584218134060359,0.2584218134060359,0.24157818659396407,0.33105706054917183
2,2,0.001,0.011180339887498947,0.2584218134060359,0.2584218134060359,0.24157818659396407,0.32684615384615384
3,1,0.001,0.011180339887498947,0.26263272010905386,0.26263272010905386,0.2373672798909461,0.37369104417526666
3,2,0.001,0.011180339887498947,0.26263272010905386,0.26263272010905386,0.2373672798909461,0.3694801374722487
3,3,0.001,0.011180339887498947,0.26263272010905386,0.26263272010905386,0.2373672798909461,0.3652692307692308
1,1,0.001,0.016718507624410548,0.2623121002411482,0.2623121002411482,0.2376878997588518,0.28842307692307695
2,1,0.001,0.016718507624410548,0.2746242004822964,0.2746242004822964,0.2253757995177036,0.33915825408730205
2,2,0.001,0.016718507624410548,0.2746242004822964,0.2746242004822964,0.2253757995177036,0.32684615384615384
3,1,0.001,0.016718507624410548,0.2869363007234446,0.2869363007234446,0.21306369927655538,0.3898934312515272
3,2,0.001,0.016718507624410548,0.2869363007234446,0.2869363007234446,0.21306369927655538,0.377581331010379
3,3,0.001,0.016718507624410548,0.2869363007234446,0.2869363007234446,0.21306369927655538,0.3652692307692308
1,1,0.001,0.024999999999999994,0.2685513865866225,0.2685513865866225,0.23144861341337755,0.2884230769230769
2,1,0.001,0.024999999999999994,0.2871027731732449,0.2871027731732449,0.21289722682675508,0.3453975404327763
2,2,0.001,0.024999999999999994,0.2871027731732449,0.2871027731732449,0.21289722682675508,0.32684615384615384
3,1,0.001,0.024999999999999994,0.30565415975986737,0.30565415975986737,0.19434584024013263,0.4023720039424757
3,2,0.001,0.024999999999999994,0.30565415975986737,0.30565415975986737,0.19434584024013263,0.38382061735585327
3,3,0.001,0.024999999999999994,0.30565415975986737,0.30565415975986737,0.19434584024013263,0.36526923076923073
1,1,0.001,0.037383719530530504,0.27200079055679877,0.27200079055679877,0.22799920944320123,0.2884230769230769
2,1,0.001,0.037383719530530504,0.29400158111359753,0.29400158111359753,0.20599841888640247,0.3488469444029526
2,2,0.001,0.037383719530530504,0.29400158111359753,0.29400158111359753,0.20599841888640247,0.32684615384615384
3,1,0.001,0.037383719530530504,0.31600237167039624,0.31600237167039624,0.18399762832960373,0.40927081188282827
3,2,0.001,0.037383719530530504,0.31600237167039624,0.31600237167039624,0.18399762832960373,0.3872700213260295
3,3,0.001,0.037383719530530504,0.31600237167039624,0.31600237167039624,0.18399762832960373,0.36526923076923073
1,1,0.001,0.05590169943749473,0.2725032143898851,0.2725032143898851,0.22749678561011488,0.28842307692307695
2,1,0.001,0.05590169943749473,0.29500642877977024,0.29500642877977024,0.20499357122022976,0.349349368236039
2,2,0.001,0.05590169943749473,0.29500642877977024,0.29500642877977024,0.20499357122022976,0.32684615384615384
3,1,0.001,0.05590169943749473,0.31750964316965535,0.31750964316965535,0.18249035683034465,0.410275659549001
3,2,0.001,0.05590169943749473,0.31750964316965535,0.31750964316965535,0.18249035683034465,0.3877724451591159
3,3,0.001,0.05590169943749473,0.31750964316965535,0.31750964316965535,0.18249035683034465,0.3652692307692308
1,1,0.001,0.08359253812205272,0.27066220187444556,0.27066220187444556,0.22933779812555444,0.2884230769230769
2,1,0.001,0.08359253812205272,0.2913244037488911,0.2913244037488911,0.20867559625110887,0.3475083557205994
2,2,0.001,0.08359253812205272,0.2913244037488911,0.2913244037488911,0.20867559625110887,0.32684615384615384
3,1,0.001,0.08359253812205272,0.3119866056233367,0.3119866056233367,0.1880133943766633,0.4065936345181219
3,2,0.001,0.08359253812205272,0.3119866056233367,0.3119866056233367,0.1880133943766633,0.38593143264367635
3,3,0.001,0.08359253812205272,0.3119866056233367,0.3119866056233367,0.1880133943766633,0.3652692307692308
1,1,0.001,0.12499999999999994,0.2674647280662404,0.2674647280662404,0.2325352719337596,0.28842307692307695
2,1,0.001,0.12499999999999994,0.2849294561324808,0.2849294561324808,0.21507054386751925,0.34431088191239423
2,2,0.001,0.12499999999999994,0.2849294561324808,0.2849294561324808,0.21507054386751925,0.32684615384615384
3,1,0.001,0.12499999999999994,0.3023941841987211,0.3023941841987211,0.1976058158012789,0.4001986869017115
3,2,0.001,0.12499999999999994,0.3023941841987211,0.3023941841987211,0.1976058158012789,0.3827339588354711
3,3,0.001,0.12499999999999994,0.3023941841987211,0.3023941841987211,0.1976058158012789,0.36526923076923073
1,1,0.001,0.18691859765265248,0.26385002762972415,0.26385002762972415,0.23614997237027588,0.2884230769230769
2,1,0.001,0.18691859765265248,0.27770005525944824,0.27770005525944824,0.22229994474055176,0.340696181475878
2,2,0.001,0.18691859765265248,0.27770005525944824,0.27770005525944824,0.22229994474055176,0.32684615384615384
