"M","K","u","v","CC","CD","DC","DD"
2,1,0.001,0.05590169943749473,0.24191792022619427,0.2737958404523886,0.22620415954761144,0.2580820797738057
2,1,0.001,0.08359253812205272,0.24089165513967306,0.2717433102793462,0.22825668972065385,0.2591083448603269
2,1,0.001,0.12499999999999994,0.2391775,0.268315,0.231685,0.2608225
2,1,0.001,0.18691859765265248,0.2372641025591046,0.2644882051182092,0.2355117948817908,0.2627358974408954
2,1,0.001,0.27950849718747356,0.2354833119863267,0.26092662397265337,0.23907337602734666,0.26451668801367334
2,1,0.001,0.41796269061026353,0.2339964934202993,0.2579529868405986,0.24204701315940141,0.26600350657970073
2,1,0.001,0.6249999999999997,0.23284050718512256,0.25564101437024517,0.24435898562975486,0.26715949281487744
2,2,0.001,0.001,0.17008,0.18404297726564933,0.31595702273435067,0.32992
2,2,0.001,0.0014953487812212204,0.17008,0.19030669539418354,0.30969330460581646,0.32992
2,2,0.001,0.0022360679774997894,0.17008,0.19895713394408784,0.3010428660559122,0.32992
2,2,0.001,0.0033437015248821097,0.17008,0.2104730534201536,0.2895269465798464,0.32992
2,2,0.001,0.004999999999999999,0.17008,0.225025,0.274975,0.32992
2,2,0.001,0.007476743906106102,0.17008,0.24212290091548383,0.25787709908451617,0.32992
2,2,0.001,0.011180339887498947,0.17007999999999998,0.2602999741859579,0.2397000258140421,0.32992
2,2,0.001,0.016718507624410548,0.17008,0.2771453245388655,0.22285467546113455,0.32992
2,2,0.001,0.024999999999999994,0.17007999999999998,0.28996,0.21004,0.32992
2,2,0.001,0.037383719530530504,0.17007999999999998,0.2968579724337196,0.20314202756628044,0.32992
2,2,0.001,0.05590169943749473,0.17008,0.2975916809047771,0.2024083190952229,0.32992
2,2,0.001,0.08359253812205272,0.17007999999999995,0.2934866205586923,0.2065133794413077,0.32992000000000005
2,2,0.001,0.12499999999999994,0.17008,0.28663,0.21336999999999998,0.32992
2,2,0.001,0.18691859765265248,0.17008,0.2789764102364184,0.2210235897635816,0.32992
2,2,0.001,0.27950849718747356,0.17008,0.2718532479453067,0.2281467520546933,0.32992
2,2,0.001,0.41796269061026353,0.17008,0.26590597368119717,0.23409402631880286,0.32992
2,2,0.001,0.6249999999999997,0.17008,0.2612820287404903,0.23871797125950972,0.32992
3,1,0.001,0.001,0.21469432575521644,0.21702148863282467,0.28297851136717533,0.2853056742447836
3,1,0.001,0.0014953487812212204,0.21678223179806116,0.22015334769709177,0.2798466523029082,0.28321776820193884
3,1,0.001,0.0022360679774997894,0.21966571131469595,0.2244785669720439,0.27552143302795606,0.2803342886853041
3,1,0.001,0.0033437015248821097,0.22350435114005118,0.2302365267100768,0.26976347328992323,0.2764956488599488
3,1,0.001,0.004999999999999999,0.228355,0.2375125,0.2624875,0.271645
3,1,0.001,0.007476743906106102,0.23405430030516128,0.24606145045774191,0.2539385495422581,0.2659456996948387
3,1,0.001,0.011180339887498947,0.24011332472865263,0.255149987092979,0.24485001290702105,0.25988667527134734
3,1,0.001,0.016718507624410548,0.24572844151295514,0.2635726622694327,0.23642733773056726,0.25427155848704486
3,1,0.001,0.024999999999999994,0.25,0.26998,0.23002,0.25
3,1,0.001,0.037383719530530504,0.2522993241445732,0.2734289862168598,0.2265710137831402,0.24770067585542682
3,1,0.001,0.05590169943749473,0.2525438936349257,0.2737958404523886,0.22620415954761144,0.24745610636507429
3,1,0.001,0.08359253812205272,0.2511755401862308,0.2717433102793462,0.22825668972065385,0.24882445981376924
3,1,0.001,0.12499999999999994,0.24889,0.268315,0.231685,0.25111
3,1,0.001,0.18691859765265248,0.24633880341213946,0.2644882051182092,0.2355117948817908,0.2536611965878605
3,1,0.001,0.27950849718747356,0.2439644159817689,0.26092662397265337,0.23907337602734666,0.2560355840182311
3,1,0.001,0.41796269061026353,0.2419819912270657,0.2579529868405986,0.24204701315940141,0.2580180087729343
