"","generations","N","M","K","P","b","c","β","u","v","p1","p2","ϵ","DD_mean_final","DC_mean_final","CD_mean_final","CC_mean_final","y","z","g","h","sia_sid","sia_sjd","id"
"1626",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0,0,1,0.232353393749866,0.26611418374989,0.253865114999959,0.247667307500222,0.981600056404388,0.494589297969978,0.48956705694335,0.486327820723031,0.247667307500222,0.248156498352633,"run11"
"1627",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.25,0.25,1,0.262915381250071,0.24379319374981,0.232248335000175,0.261043089999763,0.979549263712511,0.491329437457517,0.486029903610141,0.482472840416324,0.261043089999763,0.260214389633104,"run11"
"1628",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.5,0.5,1,0.326676054999809,0.194879467499704,0.227802207499923,0.250642269999722,0.979977786404695,0.494923518356386,0.489563217842324,0.486069862556468,0.250642269999722,0.249919095242477,"run11"
"1629",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.75,0.75,1,0.277172465000455,0.263880252499714,0.198875675000027,0.260071607499965,0.979691676789505,0.480205750278425,0.475835036430527,0.471711926513145,0.260071607499965,0.259318501644854,"run11"
"1630",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,1,1,1,0.298741031250057,0.209001118749782,0.237075745000039,0.25518210500024,0.735249306921518,-0.0256410256377428,0.229234745486022,-0.0253958202599825,0.25518210500024,0.222717536922918,"run11"
"1631",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0,0,1,0.26594183125013,0.242086532499775,0.266674339999773,0.22529729625012,0.979644576339895,0.496482086559801,0.492048892391574,0.487930077743608,0.22529729625012,0.225216005852845,"run11"
"1632",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.25,0.25,1,0.200688543749895,0.266433741250092,0.324937606249773,0.207940108749794,0.980575338583954,0.494776162201197,0.489722414635486,0.486245075584798,0.207940108749794,0.209044847377063,"run11"
"1633",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.5,0.5,1,0.22190048499973,0.24509007874974,0.279984852499884,0.253024583750171,0.981190182622694,0.485228186175273,0.480601735725035,0.47718757380984,0.253024583750171,0.253000786157634,"run11"
"1634",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.75,0.75,1,0.284719333750157,0.273256501249796,0.239355333750311,0.202668831249954,0.981784651276734,0.478963801433363,0.474474358098509,0.471214794658309,0.202668831249954,0.202976618536314,"run11"
"1635",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,1,1,1,0.253353609999876,0.228672582499974,0.268433757499944,0.249540049999961,0.740792892581857,-0.0256410256377428,0.224219398801797,-0.0253974945244265,0.249540049999961,0.238719872658374,"run11"
"1636",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0,0,1,0.27533353000005,0.255693173749797,0.181662557499575,0.287310738750047,0.980606314930351,0.498049199893626,0.493399501494992,0.489759261519923,0.287310738750047,0.286195187986954,"run11"
"1637",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.25,0.25,1,0.245170258750371,0.24972642124984,0.264004683749839,0.241098636249974,0.98071986845586,0.495547216817386,0.490544294892812,0.487120675177316,0.241098636249974,0.240925544998382,"run11"
"1638",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.5,0.5,1,0.273598640000216,0.207868481249905,0.282238118749986,0.236294759999679,0.980605483520028,0.493370860407212,0.488417652520779,0.484888788979588,0.236294759999679,0.23654459963283,"run11"
"1639",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.75,0.75,1,0.269172666249921,0.275035456249879,0.207487762499895,0.248304115000149,0.978975920506742,0.480219055663067,0.475246634123243,0.471310910926261,0.248304115000149,0.248726314571773,"run11"
"1640",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,1,1,1,0.2089265899998,0.219156579999863,0.242934452500004,0.328982377499678,0.727349894451075,-0.0256410256377428,0.237651782009309,-0.0253973343153013,0.328982377499678,0.315190135459185,"run11"
"1641",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0,0,1,0.244348038749866,0.265103962499828,0.258775751250241,0.2317722475001,0.980423710570664,0.493425816688466,0.488781945597241,0.485048310082056,0.2317722475001,0.231977980974953,"run11"
"1642",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.25,0.25,1,0.212947563750062,0.285878061249931,0.233998122499751,0.267176252500012,0.980325800634635,0.493285018483083,0.487773455918112,0.484452069282859,0.267176252500012,0.267551247803768,"run11"
"1643",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.5,0.5,1,0.261852785000089,0.200998672499687,0.269893477500051,0.267255064999891,0.980917094609532,0.48849198168926,0.483577187328804,0.480189919070959,0.267255064999891,0.266548782255013,"run11"
"1644",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.75,0.75,1,0.309263412500045,0.192525979999788,0.208846241249896,0.289364366249979,0.98069506896896,0.486962519125507,0.482056625790386,0.478592569927772,0.289364366249979,0.288611787986488,"run11"
"1645",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,1,1,1,0.229185546250087,0.265863682499847,0.226680592499956,0.278270178750031,0.715123498254184,-0.0256410256377428,0.249658757301282,-0.0253944451081384,0.278270178750031,0.312374346292914,"run11"
"1646",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0,0,1,0.276083843749976,0.226150233749978,0.256196391250118,0.241569531249983,0.981137523455695,0.495744106817397,0.491011828867169,0.48756184217796,0.241569531249983,0.241661676218688,"run11"
"1647",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.25,0.25,1,0.249451860000231,0.203977656249788,0.255312972499971,0.291257511249888,0.981023204416814,0.493278979509574,0.488765938931249,0.485138165184122,0.291257511249888,0.291080148779433,"run11"
